Force (N)	Déformation (mm)
	-0.47576
-0.037229	-0.46899
-0.036311	-0.45801
-0.035392	-0.44685
-0.034473	-0.43688
-0.033555	-0.42496
-0.032636	-0.41421
-0.031717	-0.40268
-0.030799	-0.39207
-0.029880	-0.38084
-0.028961	-0.36888
-0.028043	-0.35880
-0.027124	-0.34700
-0.026206	-0.33605
-0.025287	-0.32558
-0.024368	-0.31405
-0.023450	-0.30371
-0.022531	-0.29183
-0.021612	-0.28094
-0.020694	-0.27031
-0.019775	-0.25911
-0.018856	-0.24805
-0.017938	-0.23667
-0.017019	-0.22556
-0.016100	-0.21422
-0.015182	-0.20349
-0.014263	-0.19250
-0.013344	-0.18063
-0.012426	-0.16972
-0.011507	-0.15866
-0.010588	-0.14767
-0.0096698	-0.13664
-0.0087512	-0.12513
-0.0078325	-0.11479
-0.0069139	-0.10293
-0.0059952	-0.092206
-0.0050766	-0.081298
-0.0041579	-0.069799
-0.0032393	-0.059289
-0.0023206	-0.047384
-0.0014020	-0.037007
-0.00048333	-0.025305
0.14128	-0.014214
0.77646	-0.0031673
1.3087	0.0046414
2.0244	0.015657
2.7534	0.026013
3.4725	0.037152
4.2008	0.047858
4.9609	0.059976
5.6893	0.070697
6.4480	0.080793
7.1436	0.092660
7.8559	0.10352
8.5927	0.11463
9.2504	0.12570
9.9469	0.13701
10.628	0.14791
11.324	0.15899
12.063	0.17008
12.718	0.18122
13.478	0.19262
14.143	0.20366
14.820	0.21486
15.518	0.22652
16.149	0.23666
16.791	0.24800
17.435	0.25928
18.052	0.26998
18.739	0.28166
19.415	0.29196
19.992	0.30361
20.578	0.31423
21.237	0.32625
21.811	0.33685
22.356	0.34762
22.860	0.35824
23.397	0.36960
24.023	0.38189
24.521	0.39241
25.145	0.40369
25.610	0.41439
26.123	0.42533
26.629	0.43664
27.218	0.44820
27.666	0.45895
28.101	0.46976
28.578	0.48161
29.134	0.49223
29.544	0.50357
30.043	0.51455
30.426	0.52519
30.940	0.53644
31.397	0.54852
31.800	0.55872
32.309	0.56995
32.625	0.58144
32.968	0.59127
33.483	0.60316
0.076294	
