Force (N)	Déformation (mm)
	
-0.036319	-0.14034
-0.034487	-0.13486
-0.032655	-0.12892
-0.030824	-0.12298
-0.028992	-0.11644
-0.027160	-0.11035
-0.025329	-0.10426
-0.023497	-0.099049
-0.021665	-0.092818
-0.019833	-0.086612
-0.018002	-0.080704
-0.016170	-0.074796
-0.014338	-0.069109
-0.012506	-0.063053
-0.010675	-0.056935
-0.0088430	-0.050327
-0.0070112	-0.044586
-0.0051795	-0.038346
-0.0033478	-0.032387
-0.0015161	-0.025606
0.00031567	-0.020317
0.012850	-0.014626
0.44849	-0.0077374
0.90271	-0.0023353
1.1109	0.00090777
1.4301	0.0052410
1.9403	0.010974
2.4734	0.016844
2.9586	0.023042
3.4944	0.029077
3.9679	0.034975
4.5265	0.041199
5.1390	0.047509
5.6619	0.053722
6.1849	0.059521
6.6310	0.064789
7.1756	0.071891
7.7118	0.078121
8.2783	0.083969
8.7064	0.089448
9.2446	0.095581
9.6881	0.10175
10.237	0.10871
10.672	0.11443
11.082	0.11943
11.460	0.12632
11.967	0.13236
12.463	0.13827
12.931	0.14407
13.306	0.15000
13.764	0.15598
14.181	0.16196
14.685	0.16776
15.102	0.17449
15.491	0.18028
15.934	0.18638
16.439	0.19249
16.893	0.19884
17.313	0.20485
17.710	0.21086
18.292	0.21705
18.722	0.22350
19.236	0.22948
19.633	0.23530
20.023	0.24140
20.513	0.24718
20.919	0.25328
21.297	0.25941
21.777	0.26612
22.155	0.27177
22.511	0.27792
22.949	0.28383
23.272	0.28972
23.833	0.29619
24.202	0.30220
24.607	0.30817
25.006	0.31415
25.383	0.32015
25.793	0.32615
26.199	0.33203
26.578	0.33806
26.973	0.34491
27.368	0.35063
27.669	0.35706
28.020	0.36325
28.473	0.36903
28.811	0.37486
29.168	0.38089
29.519	0.38678
29.988	0.39253
30.308	0.39923
30.671	0.40510
31.046	0.41093
31.421	0.41695
31.808	0.42363
31.995	0.42885
32.470	0.43575
32.694	0.44136
1.8884	
