Force (N)	Déformation (mm)
	
0.00000	-1.1964
0.00000	-1.1812
0.00000	-1.1649
0.00000	-1.1485
0.00000	-1.1319
0.00000	-1.1162
0.00000	-1.1001
0.00000	-1.0831
0.00000	-1.0674
0.00000	-1.0506
0.00000	-1.0345
0.00000	-1.0184
0.00000	-1.0025
0.00000	-0.98553
0.00000	-0.96997
0.00000	-0.95316
0.00000	-0.93731
0.00000	-0.92078
0.00000	-0.90454
0.00000	-0.88851
0.00000	-0.87206
0.00000	-0.85612
0.00000	-0.84019
0.00000	-0.82309
0.00000	-0.80712
0.00000	-0.79116
0.00000	-0.77427
0.00000	-0.75807
0.00000	-0.74135
0.00000	-0.72537
0.00000	-0.70914
0.00000	-0.69347
0.00000	-0.67718
0.00000	-0.66053
0.00000	-0.64387
0.00000	-0.62812
0.00000	-0.61215
0.00000	-0.59585
0.00000	-0.57955
0.00000	-0.56307
0.00000	-0.54642
0.00000	-0.53110
0.00000	-0.51443
0.00000	-0.49737
0.00000	-0.48110
0.00000	-0.46528
0.00000	-0.44897
0.00000	-0.43275
0.00000	-0.41682
0.00000	-0.40069
0.00000	-0.38425
0.00000	-0.36811
0.00000	-0.35197
0.00000	-0.33498
0.00000	-0.31974
0.00000	-0.30295
0.00000	-0.28666
0.00000	-0.27078
0.00000	-0.25435
0.00000	-0.23807
0.00000	-0.22178
0.00000	-0.20553
0.00000	-0.18875
0.00000	-0.17321
0.00000	-0.15706
0.00000	-0.14006
0.00000	-0.12390
0.00000	-0.10773
0.00000	-0.092180
0.00000	-0.075095
0.00000	-0.059406
0.00000	-0.043031
0.014345	-0.026749
0.26577	-0.0099345
1.1359	0.0010215
2.4431	0.016532
3.9428	0.033085
5.3868	0.049755
6.8786	0.066035
8.3389	0.082156
9.6230	0.098297
10.923	0.11420
12.187	0.13009
13.562	0.14654
14.937	0.16331
16.187	0.17993
17.578	0.19593
18.936	0.21133
20.340	0.22791
21.680	0.24451
23.080	0.26061
24.388	0.27733
25.686	0.29362
26.884	0.30960
28.119	0.32556
29.331	0.34103
30.496	0.35782
31.652	0.37406
0.11444	
