Force (N)	Déformation (mm)
	
0.0025950	-0.44621
0.0051936	-0.43760
0.0077922	-0.42879
0.010391	-0.42005
0.012989	-0.41197
0.015588	-0.40256
0.018187	-0.39391
0.019174	-0.38560
0.019326	-0.37617
0.019478	-0.36700
0.019630	-0.35908
0.019782	-0.34998
0.019934	-0.34115
0.020086	-0.33262
0.020238	-0.32286
0.020390	-0.31497
0.020543	-0.30612
0.020695	-0.29600
0.020847	-0.28731
0.020999	-0.27911
0.021151	-0.27078
0.021303	-0.26197
0.021455	-0.25308
0.021607	-0.24367
0.021759	-0.23530
0.021911	-0.22679
0.022064	-0.21777
0.022216	-0.20892
0.022368	-0.20062
0.022520	-0.19067
0.022672	-0.18211
0.022824	-0.17333
0.022976	-0.16512
0.023128	-0.15611
0.023280	-0.14640
0.023432	-0.13837
0.023585	-0.12888
0.023737	-0.12021
0.023889	-0.11153
0.024041	-0.10266
0.024193	-0.093482
0.024345	-0.085330
0.024497	-0.076389
0.024649	-0.067997
0.024801	-0.059544
0.024953	-0.049992
0.025105	-0.040950
0.025258	-0.032372
0.025410	-0.023407
0.18304	-0.014336
0.68351	-0.0064124
1.0506	0.00054973
1.3898	0.0071151
1.9458	0.016030
2.5257	0.025063
3.0144	0.033693
3.5598	0.042605
4.0685	0.051481
4.6245	0.060663
5.0797	0.069472
5.5744	0.077851
6.1549	0.086713
6.6297	0.095773
7.1498	0.10476
7.7083	0.11347
8.1866	0.12254
8.6699	0.13017
9.1719	0.13947
9.6300	0.14841
10.057	0.15676
10.586	0.16581
11.028	0.17530
11.486	0.18353
11.961	0.19269
12.377	0.20162
12.813	0.21066
13.250	0.21949
13.732	0.22850
14.092	0.23616
14.555	0.24597
14.985	0.25430
15.452	0.26338
15.958	0.27169
16.388	0.28099
16.850	0.28923
17.241	0.29800
17.772	0.30762
18.146	0.31571
18.554	0.32439
19.010	0.33382
19.488	0.34259
19.865	0.35160
20.319	0.36034
20.673	0.36838
21.124	0.37772
21.482	0.38659
21.868	0.39544
22.334	0.40420
0.081443	
