Force (N)	Déformation (mm)
	
-0.035804	-0.35533
-0.033457	-0.34603
-0.031111	-0.33575
-0.028765	-0.32586
-0.026419	-0.31654
-0.024072	-0.30643
-0.021726	-0.29675
-0.019380	-0.28630
-0.017034	-0.27624
-0.014688	-0.26704
-0.012341	-0.25703
-0.0099951	-0.24623
-0.0076488	-0.23651
-0.0053026	-0.22707
-0.0029564	-0.21661
-0.00061013	-0.20617
0.0017361	-0.19631
0.0040823	-0.18714
0.0047316	-0.17676
0.0052802	-0.16627
0.0058288	-0.15714
0.0063774	-0.14682
0.0069260	-0.13654
0.0074745	-0.12715
0.0080231	-0.11709
0.0085717	-0.10684
0.0091203	-0.096802
0.0096689	-0.086666
0.010217	-0.077235
0.010766	-0.066746
0.011315	-0.056225
0.011863	-0.047109
0.012412	-0.036293
0.012960	-0.026578
0.013975	-0.016679
0.56726	-0.0062861
0.98542	0.000061130
1.4006	0.0079873
2.0292	0.018017
2.6240	0.027663
3.1931	0.038526
3.7953	0.048687
4.3876	0.057867
4.9924	0.067230
5.5377	0.077652
6.1055	0.088329
6.7008	0.097172
7.2735	0.10745
7.9211	0.11880
8.4539	0.12801
8.9840	0.13756
9.6206	0.14787
10.131	0.15825
10.605	0.16774
11.192	0.17809
11.744	0.18759
12.334	0.19795
12.829	0.20731
13.303	0.21712
13.943	0.22737
14.412	0.23747
14.905	0.24726
15.431	0.25755
15.941	0.26690
16.538	0.27785
17.018	0.28767
17.584	0.29749
18.075	0.30744
18.534	0.31742
19.115	0.32779
19.632	0.33708
20.069	0.34708
20.508	0.35733
20.999	0.36728
21.484	0.37736
21.937	0.38716
22.411	0.39779
22.816	0.40771
23.200	0.41770
23.651	0.42770
24.037	0.43753
24.492	0.44749
24.859	0.45709
25.338	0.46755
25.679	0.47761
26.071	0.48679
26.447	0.49679
26.911	0.50674
27.232	0.51727
27.619	0.52735
28.005	0.53697
28.353	0.54642
28.756	0.55642
29.069	0.56749
29.524	0.57746
29.823	0.58669
30.191	0.59628
30.592	0.60687
0.076294	
