Force (N)	Déformation (mm)
	
0.00000	-0.54975
0.00000	-0.53949
0.00000	-0.52988
0.00000	-0.51914
0.00000	-0.50884
0.00000	-0.49849
0.00000	-0.48856
0.00000	-0.47796
0.00000	-0.46623
0.00000	-0.45581
0.00000	-0.44627
0.00000	-0.43630
0.00000	-0.42506
0.00000	-0.41529
0.00000	-0.40417
0.00000	-0.39415
0.00000	-0.38401
0.00000	-0.37361
0.00000	-0.36274
0.00000	-0.35265
0.00000	-0.34220
0.00000	-0.33165
0.00000	-0.32090
0.00000	-0.31129
0.00000	-0.30043
0.00000	-0.28982
0.00000	-0.27963
0.00000	-0.26882
0.00000	-0.25823
0.00000	-0.24799
0.00000	-0.23783
0.00000	-0.22780
0.00000	-0.21707
0.00000	-0.20697
0.00000	-0.19570
0.00000	-0.18608
0.00000	-0.17520
0.00000	-0.16532
0.00000	-0.15487
0.00000	-0.14289
0.00000	-0.13352
0.00000	-0.12311
0.00000	-0.11258
0.00000	-0.10225
0.00000	-0.091902
0.00000	-0.080685
0.00000	-0.071299
0.00000	-0.060401
0.00000	-0.049931
0.00000	-0.040111
0.00000	-0.029421
0.13310	-0.019064
0.62645	-0.0080743
1.0663	0.0010813
1.2843	0.0070392
1.7798	0.017788
2.2986	0.027883
2.8173	0.038445
3.3474	0.048928
3.8151	0.058998
4.2720	0.070157
4.7420	0.080292
5.3104	0.090717
5.7788	0.10072
6.2413	0.11152
6.6966	0.12194
7.2566	0.13209
7.7208	0.14281
8.1893	0.15333
8.6540	0.16358
9.1132	0.17392
9.5963	0.18481
10.013	0.19507
10.419	0.20509
10.854	0.21531
11.304	0.22598
11.773	0.23661
12.206	0.24746
12.615	0.25740
12.971	0.26835
13.365	0.27877
13.800	0.28911
14.222	0.29885
14.653	0.30915
15.055	0.31997
15.441	0.33025
15.854	0.34070
16.125	0.35202
16.476	0.36186
16.871	0.37181
17.213	0.38255
17.660	0.39307
17.910	0.40372
18.242	0.41361
18.561	0.42482
18.964	0.43495
19.260	0.44572
19.580	0.45625
1.0426	
