Force (N)	Déformation (mm)
	
-0.037126	-0.40541
-0.036103	-0.39875
-0.035080	-0.39234
-0.034058	-0.38577
-0.033035	-0.38026
-0.032012	-0.37265
-0.030989	-0.36680
-0.029966	-0.36040
-0.028944	-0.35391
-0.027921	-0.34748
-0.026898	-0.34095
-0.025875	-0.33442
-0.024852	-0.32803
-0.023830	-0.32110
-0.022807	-0.31469
-0.021784	-0.30835
-0.020761	-0.30201
-0.019738	-0.29632
-0.018716	-0.28821
-0.017693	-0.28188
-0.016670	-0.27524
-0.015647	-0.27008
-0.014624	-0.26252
-0.013601	-0.25603
-0.012579	-0.24946
-0.011556	-0.24371
-0.010533	-0.23641
-0.0095102	-0.22970
-0.0084874	-0.22343
-0.0074646	-0.21752
-0.0064418	-0.21108
-0.0054190	-0.20481
-0.0043962	-0.19780
-0.0033734	-0.19179
-0.0023506	-0.18519
-0.0013278	-0.17849
-0.00030495	-0.17132
0.00071786	-0.16567
0.0017407	-0.15884
0.0027635	-0.15248
0.0037863	-0.14612
0.0048091	-0.13968
0.0058319	-0.13308
0.0068547	-0.12633
0.0078775	-0.11891
0.0089003	-0.11377
0.0099231	-0.10723
0.010946	-0.10034
0.011969	-0.093535
0.012992	-0.087334
0.014014	-0.081026
0.015037	-0.075149
0.018251	-0.067156
0.021904	-0.061639
0.025557	-0.055554
0.029211	-0.048634
0.032191	-0.042275
0.034575	-0.034968
0.036958	-0.028388
0.039342	-0.021921
0.21508	-0.016188
0.47683	-0.0099410
0.75115	-0.0029311
1.0807	0.000022852
1.2363	0.0045851
1.6803	0.011008
2.1213	0.017980
2.5335	0.023644
2.9402	0.030530
3.3691	0.037073
3.7240	0.043365
4.1400	0.049734
4.5035	0.056397
4.9452	0.062230
5.3300	0.069145
5.7066	0.075712
6.0946	0.081743
6.5871	0.088278
6.9697	0.095727
7.4179	0.10218
7.8464	0.10791
8.2602	0.11468
8.5700	0.12090
8.9981	0.12720
9.3918	0.13412
9.7733	0.14144
10.132	0.14748
10.486	0.15356
10.919	0.15950
11.312	0.16676
11.635	0.17343
11.958	0.17969
12.282	0.18541
12.728	0.19231
13.058	0.19882
13.412	0.20549
13.762	0.21270
14.098	0.21936
	0.22562
