Force (N)	Déformation (mm)
	
0.038147	-0.39210
0.038147	-0.38354
0.038147	-0.37378
0.038147	-0.36385
0.038147	-0.35450
0.038147	-0.34517
0.038147	-0.33550
0.038147	-0.32721
0.038147	-0.31576
0.038147	-0.30706
0.038147	-0.29704
0.038147	-0.28778
0.038147	-0.27784
0.038147	-0.26902
0.038147	-0.25881
0.038147	-0.24937
0.038147	-0.23972
0.038147	-0.22993
0.038147	-0.22042
0.038147	-0.21092
0.038147	-0.20141
0.038147	-0.19219
0.038147	-0.18259
0.038147	-0.17296
0.038147	-0.16293
0.038147	-0.15396
0.038147	-0.14432
0.038147	-0.13543
0.038147	-0.12512
0.038147	-0.11505
0.038147	-0.10594
0.038147	-0.097125
0.038147	-0.087224
0.038147	-0.077680
0.038147	-0.068134
0.038147	-0.058516
0.038147	-0.048899
0.038147	-0.039251
0.038147	-0.029599
0.038147	-0.019992
0.25247	-0.010386
0.94960	-0.00077877
1.2617	0.0041756
1.9224	0.013788
2.6187	0.023339
3.3443	0.032388
4.0415	0.041398
4.7485	0.051137
5.4188	0.061502
6.1013	0.070921
6.7897	0.080515
7.5214	0.089734
8.1916	0.098874
8.9143	0.10838
9.5940	0.11880
10.252	0.12771
10.962	0.13711
11.623	0.14672
12.283	0.15632
12.933	0.16544
13.598	0.17559
14.178	0.18522
14.853	0.19485
15.487	0.20470
16.102	0.21462
16.730	0.22418
17.319	0.23358
17.892	0.24240
18.480	0.25245
19.164	0.26157
19.731	0.27100
20.317	0.28087
20.916	0.29020
21.473	0.29992
22.028	0.30952
22.498	0.31899
23.022	0.32847
23.581	0.33799
24.020	0.34751
24.556	0.35703
25.065	0.36654
25.577	0.37606
26.110	0.38558
26.625	0.39582
27.078	0.40557
27.523	0.41525
27.958	0.42430
28.399	0.43387
28.842	0.44344
29.284	0.45302
29.727	0.46259
30.109	0.47218
30.529	0.48174
30.936	0.49131
31.373	0.50087
31.779	0.51044
32.181	0.52000
32.585	0.52956
6.2785	
