Force (N)	Déformation (mm)
	
0.038147	-0.97898
0.038147	-0.96501
0.038147	-0.95053
0.038147	-0.93680
0.038147	-0.92356
0.038147	-0.91015
0.038147	-0.89523
0.038147	-0.88168
0.038147	-0.86732
0.038147	-0.85324
0.038147	-0.83940
0.038147	-0.82543
0.038147	-0.81174
0.038147	-0.79758
0.038147	-0.78385
0.038147	-0.76986
0.038147	-0.75545
0.038147	-0.74150
0.038147	-0.72713
0.038147	-0.71327
0.038147	-0.70008
0.038147	-0.68581
0.038147	-0.67186
0.038147	-0.65703
0.038147	-0.64347
0.038147	-0.62930
0.038147	-0.61581
0.038147	-0.60102
0.038147	-0.58698
0.038147	-0.57344
0.038147	-0.55916
0.038147	-0.54486
0.038147	-0.53063
0.038147	-0.51677
0.038147	-0.50287
0.038147	-0.48934
0.038147	-0.47542
0.038147	-0.46082
0.038147	-0.44726
0.038147	-0.43289
0.038147	-0.41919
0.038147	-0.40492
0.038147	-0.39107
0.038147	-0.37681
0.038147	-0.36317
0.038147	-0.34955
0.038147	-0.33538
0.038147	-0.32133
0.038147	-0.30698
0.038147	-0.29338
0.038147	-0.27899
0.038147	-0.26495
0.038147	-0.25077
0.038147	-0.23715
0.038147	-0.22325
0.038147	-0.20865
0.038147	-0.19530
0.038147	-0.18127
0.038147	-0.16724
0.038147	-0.15329
0.038147	-0.13898
0.038147	-0.12502
0.038147	-0.11051
0.038147	-0.096342
0.038147	-0.082173
0.038147	-0.068989
0.038147	-0.054805
0.038147	-0.041234
0.038147	-0.027338
0.038147	-0.012977
1.1096	-0.00072995
2.0118	0.0097013
3.4984	0.023410
5.0267	0.037837
6.5329	0.051146
8.0397	0.065865
9.4332	0.080147
10.887	0.094063
12.246	0.10795
13.534	0.12234
14.887	0.13641
16.058	0.15001
17.233	0.16360
18.488	0.17834
19.654	0.19234
20.762	0.20600
22.046	0.22020
23.314	0.23356
24.521	0.24752
25.850	0.26264
27.185	0.27647
28.481	0.29053
29.722	0.30474
31.010	0.31783
32.258	0.33176
33.442	0.34592
34.596	0.35975
35.714	0.37396
8.1511	
