Force (N)	Déformation (mm)
	
0.00000	-0.54396
0.00000	-0.53422
0.00000	-0.52454
0.00000	-0.51520
0.00000	-0.50495
0.00000	-0.49591
0.00000	-0.48643
0.00000	-0.47669
0.00000	-0.46757
0.00000	-0.45699
0.00000	-0.44760
0.00000	-0.43883
0.00000	-0.42812
0.00000	-0.41849
0.00000	-0.40974
0.00000	-0.39987
0.00000	-0.39026
0.00000	-0.38043
0.00000	-0.37096
0.00000	-0.36115
0.00000	-0.35158
0.00000	-0.34196
0.00000	-0.33230
0.00000	-0.32167
0.00000	-0.31255
0.00000	-0.30301
0.00000	-0.29259
0.00000	-0.28308
0.00000	-0.27400
0.00000	-0.26488
0.00000	-0.25502
0.00000	-0.24480
0.00000	-0.23557
0.00000	-0.22602
0.00000	-0.21619
0.00000	-0.20586
0.00000	-0.19704
0.00000	-0.18727
0.00000	-0.17718
0.00000	-0.16790
0.00000	-0.15828
0.00000	-0.14898
0.00000	-0.13885
0.00000	-0.12918
0.00000	-0.11941
0.00000	-0.10976
0.00000	-0.099411
0.00071890	-0.090901
0.0075077	-0.080935
0.014296	-0.070311
0.021085	-0.061745
0.027874	-0.052194
0.034663	-0.042258
0.041451	-0.032318
0.048240	-0.023558
0.16899	-0.012993
0.78567	-0.0033364
1.1196	0.0017132
1.7730	0.011236
2.4434	0.020114
3.1441	0.030181
3.8192	0.040486
4.5414	0.049635
5.1898	0.058630
5.9297	0.069481
6.5683	0.079137
7.2834	0.088412
7.9861	0.098120
8.7166	0.10797
9.3973	0.11675
10.106	0.12740
10.769	0.13667
11.474	0.14676
12.215	0.15647
12.831	0.16618
13.536	0.17592
14.223	0.18566
14.918	0.19528
15.611	0.20488
16.260	0.21418
16.863	0.22399
17.495	0.23374
18.181	0.24348
18.902	0.25291
19.528	0.26255
20.153	0.27219
20.717	0.28158
21.325	0.29112
21.891	0.30072
22.499	0.31035
23.080	0.31997
23.660	0.32960
24.229	0.33922
24.797	0.34896
25.343	0.35842
25.857	0.36812
26.439	0.37781
26.910	0.38756
1.5160	
