Force (N)	Déformation (mm)
	
0.00073122	-0.86303
0.0014632	-0.85216
0.0021951	-0.83976
0.0029271	-0.82730
0.0036591	-0.81525
0.0043910	-0.80352
0.0051230	-0.79138
0.0058550	-0.77973
0.0065869	-0.76789
0.0073189	-0.75536
0.0080509	-0.74397
0.0087828	-0.73147
0.0095148	-0.71961
0.010247	-0.70695
0.010979	-0.69490
0.011711	-0.68345
0.012443	-0.67157
0.013175	-0.65921
0.013907	-0.64667
0.014639	-0.63557
0.015371	-0.62329
0.016102	-0.61185
0.016834	-0.59902
0.017566	-0.58688
0.018298	-0.57483
0.019030	-0.56246
0.019762	-0.55164
0.020494	-0.53876
0.021226	-0.52661
0.021958	-0.51527
0.022690	-0.50320
0.023422	-0.49075
0.024154	-0.47875
0.024886	-0.46626
0.025618	-0.45515
0.026350	-0.44364
0.027082	-0.43095
0.027814	-0.41883
0.028546	-0.40623
0.029278	-0.39542
0.030010	-0.38285
0.030742	-0.37081
0.031474	-0.35882
0.032206	-0.34640
0.032938	-0.33462
0.033670	-0.32264
0.034402	-0.31041
0.035134	-0.29907
0.035866	-0.28636
0.036597	-0.27453
0.037329	-0.26221
0.038061	-0.25012
0.038793	-0.23818
0.039484	-0.22581
0.040132	-0.21419
0.040780	-0.20245
0.041428	-0.18967
0.042076	-0.17817
0.042724	-0.16659
0.043372	-0.15410
0.044020	-0.14225
0.044668	-0.12980
0.045316	-0.11799
0.045964	-0.10616
0.046612	-0.094142
0.047260	-0.082129
0.047908	-0.070116
0.048556	-0.057533
0.049204	-0.045739
0.049852	-0.033829
0.050500	-0.021885
0.20165	-0.010360
1.1032	0.00083563
2.1477	0.0090554
3.9317	0.020658
5.5961	0.033486
7.4662	0.045164
9.1401	0.056688
10.892	0.068819
12.660	0.081029
14.307	0.093159
16.009	0.10508
17.663	0.11689
19.197	0.12881
20.585	0.14066
21.968	0.15364
23.325	0.16518
24.699	0.17716
26.280	0.18874
27.814	0.20078
29.380	0.21283
30.929	0.22488
32.475	0.23714
34.053	0.24949
35.540	0.26156
37.024	0.27360
38.411	0.28503
39.843	0.29767
6.0195	
