Force (N)	Déformation (mm)
	-1.0044
0.038147	-0.99528
0.038147	-0.98200
0.038147	-0.96867
0.038147	-0.95529
0.038147	-0.94201
0.038147	-0.92872
0.038147	-0.91538
0.038147	-0.90191
0.038147	-0.88826
0.038147	-0.87520
0.038147	-0.86129
0.038147	-0.84774
0.038147	-0.83400
0.038147	-0.82139
0.038147	-0.80777
0.038147	-0.79336
0.038147	-0.78073
0.038147	-0.76655
0.038147	-0.75364
0.038147	-0.74049
0.038147	-0.72698
0.038147	-0.71296
0.038147	-0.69896
0.038147	-0.68603
0.038147	-0.67325
0.038147	-0.65920
0.038147	-0.64505
0.038147	-0.63230
0.038147	-0.61893
0.038147	-0.60570
0.038147	-0.59225
0.038147	-0.57875
0.038147	-0.56472
0.038147	-0.55125
0.038147	-0.53809
0.038147	-0.52425
0.038147	-0.51118
0.038147	-0.49769
0.038147	-0.48417
0.038147	-0.47045
0.038147	-0.45688
0.038147	-0.44376
0.038147	-0.43031
0.038147	-0.41720
0.038147	-0.40334
0.038147	-0.39030
0.038147	-0.37644
0.038147	-0.36313
0.038147	-0.34931
0.038147	-0.33535
0.038147	-0.32245
0.038147	-0.30887
0.038147	-0.29556
0.038147	-0.28223
0.038147	-0.26857
0.038147	-0.25494
0.038147	-0.24195
0.038147	-0.22843
0.038147	-0.21492
0.038147	-0.20140
0.038147	-0.18817
0.038147	-0.17434
0.038147	-0.16138
0.038147	-0.14759
0.038147	-0.13425
0.038147	-0.12085
0.038147	-0.10708
0.038147	-0.093539
0.038147	-0.080041
0.038147	-0.066930
0.038147	-0.053425
0.038147	-0.039920
0.038147	-0.026414
0.038147	-0.012913
0.99195	0.000052940
2.0057	0.0093195
3.5888	0.022357
5.1751	0.035869
6.7228	0.049062
8.2451	0.062756
9.8762	0.076339
11.282	0.089910
12.738	0.10344
14.168	0.11699
15.520	0.13079
16.745	0.14417
17.984	0.15751
19.272	0.17085
20.669	0.18417
21.926	0.19747
23.220	0.21088
24.496	0.22434
25.784	0.23760
27.095	0.25090
28.388	0.26436
29.635	0.27781
31.068	0.29224
32.222	0.30561
0.10462	
