Force (N)	Déformation (mm)
	
0.038147	-1.0041
0.038147	-0.99178
0.038147	-0.97785
0.038147	-0.96595
0.038147	-0.95297
0.038147	-0.94097
0.038147	-0.92803
0.038147	-0.91499
0.038147	-0.90206
0.038147	-0.88914
0.038147	-0.87600
0.038147	-0.86311
0.038147	-0.85027
0.038147	-0.83743
0.038147	-0.82412
0.038147	-0.81177
0.038147	-0.79854
0.038147	-0.78524
0.038147	-0.77304
0.038147	-0.76009
0.038147	-0.74706
0.038137	-0.73386
0.038041	-0.72088
0.037945	-0.70791
0.037849	-0.69527
0.037753	-0.68265
0.037657	-0.66943
0.037561	-0.65687
0.037465	-0.64403
0.037370	-0.63105
0.037274	-0.61845
0.037178	-0.60505
0.037082	-0.59140
0.036986	-0.57952
0.036890	-0.56602
0.036794	-0.55357
0.036698	-0.54061
0.036602	-0.52760
0.036506	-0.51465
0.036410	-0.50145
0.036314	-0.48922
0.036218	-0.47631
0.036122	-0.46285
0.036027	-0.45027
0.035931	-0.43682
0.035835	-0.42410
0.035739	-0.41207
0.035643	-0.39899
0.035547	-0.38546
0.035451	-0.37309
0.035355	-0.35994
0.035259	-0.34699
0.035163	-0.33380
0.035067	-0.32158
0.034971	-0.30892
0.034875	-0.29587
0.034780	-0.28252
0.034684	-0.26968
0.034588	-0.25721
0.034492	-0.24444
0.034396	-0.23149
0.034300	-0.21856
0.034204	-0.20563
0.034108	-0.19270
0.034012	-0.17919
0.033916	-0.16623
0.033820	-0.15393
0.033724	-0.14119
0.033628	-0.12828
0.033533	-0.11485
0.033437	-0.10203
0.033341	-0.089127
0.033245	-0.076223
0.033149	-0.063856
0.033053	-0.049792
0.032957	-0.037061
0.032861	-0.024596
0.067765	-0.011825
0.97092	0.00063058
1.6755	0.0086688
2.7871	0.020555
3.8814	0.034591
5.0855	0.046494
6.1951	0.059380
7.3788	0.072804
8.4989	0.085936
9.6100	0.098606
10.589	0.11087
11.649	0.12376
12.657	0.13664
13.647	0.14952
14.645	0.16241
15.554	0.17576
16.351	0.18845
17.245	0.20135
18.155	0.21409
19.098	0.22786
20.057	0.24076
0.10214	
