Force (N)	Déformation (mm)
	
0.00057676	-0.49720
0.0011545	-0.48935
0.0017322	-0.48214
0.0023099	-0.47479
0.0028876	-0.46843
0.0034653	-0.46105
0.0040430	-0.45366
0.0046208	-0.44542
0.0051985	-0.43782
0.0057762	-0.43001
0.0063539	-0.42263
0.0069316	-0.41655
0.0075093	-0.40858
0.0080870	-0.40117
0.0086648	-0.39377
0.0092425	-0.38644
0.0098202	-0.37857
0.010398	-0.37138
0.010976	-0.36432
0.011553	-0.35698
0.012131	-0.34974
0.012709	-0.34187
0.013286	-0.33490
0.013864	-0.32664
0.014442	-0.31953
0.015020	-0.31286
0.015597	-0.30520
0.016175	-0.29774
0.016753	-0.28990
0.017330	-0.28320
0.017908	-0.27475
0.018486	-0.26733
0.019064	-0.26035
0.019641	-0.25292
0.020219	-0.24556
0.020797	-0.23815
0.021374	-0.23135
0.021952	-0.22301
0.022530	-0.21547
0.023108	-0.20855
0.023685	-0.20142
0.024263	-0.19358
0.024841	-0.18596
0.025418	-0.17920
0.025996	-0.17167
0.026574	-0.16477
0.027152	-0.15676
0.027729	-0.14961
0.028307	-0.14214
0.028885	-0.13477
0.029462	-0.12744
0.030040	-0.12022
0.030618	-0.11121
0.031196	-0.10488
0.031773	-0.097456
0.032351	-0.089791
0.032929	-0.081698
0.033506	-0.074332
0.034084	-0.068251
0.034662	-0.059741
0.035240	-0.052555
0.035817	-0.045650
0.036395	-0.038288
0.036973	-0.030448
0.037550	-0.023211
0.038128	-0.016518
0.32051	-0.0087855
0.92145	-0.0010167
1.1091	0.0020703
1.6857	0.0087484
2.3789	0.016579
2.9705	0.023514
3.5181	0.030791
4.1145	0.037994
4.7267	0.045234
5.3929	0.053558
5.9938	0.060979
6.5910	0.068400
7.1882	0.075821
7.9022	0.083108
8.3927	0.089654
8.9782	0.096890
9.6444	0.10448
10.264	0.11246
10.722	0.12019
11.312	0.12760
11.965	0.13488
12.447	0.14290
12.967	0.14971
13.536	0.15661
13.987	0.16375
14.545	0.17143
15.058	0.17886
15.637	0.18608
16.146	0.19334
16.738	0.20157
17.240	0.20907
17.677	0.21591
	0.22331
