Force (N)	Déformation (mm)
	
0.042855	-0.19019
0.047575	-0.18618
0.052295	-0.18132
0.057015	-0.17646
0.057522	-0.17140
0.057837	-0.16666
0.058152	-0.16192
0.058467	-0.15710
0.058782	-0.15229
0.059097	-0.14768
0.059412	-0.14307
0.059727	-0.13869
0.060042	-0.13327
0.060357	-0.12852
0.060672	-0.12385
0.060987	-0.11918
0.061302	-0.11490
0.061617	-0.10882
0.061932	-0.10458
0.062247	-0.099941
0.062562	-0.095307
0.062877	-0.090381
0.063192	-0.086425
0.063507	-0.081464
0.063823	-0.076682
0.064138	-0.071900
0.064453	-0.067118
0.064768	-0.062145
0.065083	-0.057736
0.065398	-0.052678
0.065713	-0.047620
0.066028	-0.042739
0.066343	-0.037918
0.066658	-0.033548
0.066973	-0.028891
0.067288	-0.023287
0.067603	-0.018490
0.067918	-0.013770
0.23676	-0.0093275
0.57001	-0.0050526
1.0445	0.00016651
1.2237	0.0020852
1.5980	0.0062963
2.0595	0.010997
2.5211	0.015698
2.9462	0.019777
3.4301	0.024817
3.9128	0.030818
4.3905	0.035524
4.8683	0.040229
5.3438	0.044778
5.7609	0.048988
6.2539	0.054008
6.8321	0.059327
7.3339	0.064125
7.8357	0.068922
8.2198	0.072644
8.6759	0.077090
9.2198	0.082896
9.6766	0.086859
10.153	0.092607
10.638	0.097280
11.102	0.10173
11.558	0.10668
12.048	0.11110
12.434	0.11629
12.901	0.12142
13.335	0.12604
13.787	0.13055
14.227	0.13596
14.693	0.14141
15.076	0.14492
15.527	0.15006
15.975	0.15475
16.370	0.15946
16.801	0.16420
17.242	0.16893
17.677	0.17366
18.112	0.17904
18.407	0.18318
18.935	0.18863
19.313	0.19326
19.691	0.19789
20.069	0.20252
20.427	0.20680
20.751	0.21220
21.084	0.21697
21.455	0.22194
21.783	0.22645
22.155	0.23168
22.391	0.23617
22.719	0.24106
23.121	0.24535
23.566	0.25072
23.787	0.25486
24.151	0.26055
24.526	0.26462
24.901	0.26980
8.2277	
