Force (N)	Déformation (mm)
	
0.0064135	-0.35650
0.012835	-0.34564
0.019137	-0.33562
0.021361	-0.32572
0.023585	-0.31539
0.025810	-0.30489
0.028034	-0.29426
0.030258	-0.28363
0.032482	-0.27310
0.034707	-0.26336
0.036931	-0.25272
0.039155	-0.24244
0.041380	-0.23172
0.043604	-0.22120
0.045828	-0.21075
0.048053	-0.20017
0.050277	-0.19110
0.052501	-0.18046
0.054726	-0.16986
0.056950	-0.15963
0.059174	-0.14838
0.061398	-0.13858
0.063577	-0.12746
0.063577	-0.11693
0.063577	-0.10675
0.063577	-0.097164
0.063578	-0.086789
0.063578	-0.075725
0.063578	-0.065651
0.063578	-0.055818
0.063578	-0.044473
0.063578	-0.034773
0.16562	-0.024323
0.50754	-0.013746
0.84599	-0.0037262
1.1234	0.0037281
1.5373	0.013505
1.9741	0.023510
2.4101	0.033855
2.8461	0.044237
3.2821	0.054619
3.7132	0.065321
4.1401	0.075758
4.5510	0.085686
4.9544	0.096564
5.4552	0.10747
5.8392	0.11731
6.2797	0.12737
6.7037	0.13754
7.1522	0.14771
7.6084	0.15889
8.0061	0.16934
8.3834	0.17980
8.7745	0.19032
9.1909	0.20083
9.6102	0.21100
10.026	0.22132
10.401	0.23119
10.818	0.24207
11.231	0.25245
11.644	0.26247
12.058	0.27262
12.496	0.28336
12.894	0.29414
13.258	0.30460
13.600	0.31446
13.959	0.32463
14.347	0.33502
14.735	0.34540
15.123	0.35636
15.511	0.36684
15.889	0.37727
16.264	0.38769
16.639	0.39812
17.009	0.40854
17.372	0.41897
17.737	0.42939
18.095	0.43890
18.436	0.44962
18.769	0.46003
19.099	0.47078
19.426	0.48120
19.772	0.49094
20.089	0.50140
20.407	0.51187
20.724	0.52227
21.041	0.53289
21.327	0.54331
21.628	0.55374
21.930	0.56417
22.221	0.57434
22.493	0.58443
22.770	0.59487
23.054	0.60586
23.317	0.61504
23.661	0.62594
23.933	0.63638
24.205	0.64675
11.177	
