Force (N)	Déformation (mm)
	
0.0049040	-0.29198
0.0098138	-0.28060
0.014724	-0.27071
0.019220	-0.26132
0.020502	-0.25041
0.021784	-0.23918
0.023067	-0.22809
0.024349	-0.21829
0.025631	-0.20857
0.026914	-0.19780
0.028196	-0.18736
0.029478	-0.17680
0.030761	-0.16617
0.037421	-0.15517
0.044876	-0.14467
0.052332	-0.13473
0.059788	-0.12380
0.067244	-0.11363
0.074700	-0.10384
0.076290	-0.093295
0.076291	-0.081991
0.076291	-0.072170
0.076292	-0.061605
0.076293	-0.050898
0.076293	-0.040607
0.076294	-0.029678
0.24580	-0.019976
0.67694	-0.0087292
1.1078	0.00086866
1.3212	0.0067930
1.8177	0.016939
2.3028	0.028066
2.7860	0.038773
3.2170	0.048712
3.6950	0.058128
4.2508	0.070430
4.6711	0.080260
5.1308	0.090759
5.6470	0.10116
6.1982	0.11138
6.6383	0.12259
7.1197	0.13236
7.6394	0.14283
8.1396	0.15303
8.6197	0.16401
9.0653	0.17410
9.4672	0.18437
9.9277	0.19482
10.367	0.20528
10.817	0.21573
11.268	0.22619
11.798	0.23712
12.234	0.24737
12.709	0.25725
13.130	0.26874
13.513	0.27873
13.983	0.28955
14.350	0.29962
14.817	0.31138
15.298	0.32199
15.674	0.33072
16.119	0.34114
16.514	0.35194
16.926	0.36225
17.323	0.37300
17.687	0.38345
18.063	0.39382
18.535	0.40407
18.899	0.41462
19.318	0.42483
19.675	0.43615
19.999	0.44585
20.396	0.45632
20.752	0.46679
21.090	0.47710
21.426	0.48760
21.820	0.49811
22.158	0.50944
22.510	0.51985
22.852	0.53027
23.160	0.54110
23.480	0.55147
23.805	0.56185
24.131	0.57223
24.415	0.58263
24.672	0.59308
24.967	0.60352
25.263	0.61397
25.555	0.62442
25.836	0.63486
26.115	0.64526
26.386	0.65564
26.728	0.66602
26.984	0.67624
27.251	0.68642
27.517	0.69701
27.783	0.70760
28.048	0.71819
5.1250	
