Force (N)	Déformation (mm)
	
-0.037522	-1.1746
-0.036896	-1.1604
-0.036270	-1.1451
-0.035644	-1.1306
-0.035018	-1.1155
-0.034392	-1.1006
-0.033766	-1.0864
-0.033140	-1.0709
-0.032514	-1.0568
-0.031888	-1.0408
-0.031262	-1.0268
-0.030636	-1.0114
-0.030010	-0.99589
-0.029384	-0.98116
-0.028758	-0.96633
-0.028132	-0.95129
-0.027507	-0.93675
-0.026881	-0.92239
-0.026255	-0.90653
-0.025629	-0.89234
-0.025003	-0.87673
-0.024377	-0.86147
-0.023751	-0.84661
-0.023125	-0.83229
-0.022499	-0.81734
-0.021873	-0.80271
-0.021247	-0.78766
-0.020621	-0.77284
-0.019995	-0.75808
-0.019369	-0.74242
-0.018743	-0.72745
-0.018117	-0.71271
-0.017491	-0.69804
-0.016866	-0.68290
-0.016240	-0.66791
-0.015614	-0.65341
-0.014988	-0.63793
-0.014362	-0.62329
-0.013736	-0.60835
-0.013110	-0.59370
-0.012484	-0.57810
-0.011858	-0.56335
-0.011232	-0.54875
-0.010606	-0.53350
-0.0099802	-0.51897
-0.0093543	-0.50410
-0.0087283	-0.48915
-0.0081024	-0.47439
-0.0074764	-0.45959
-0.0068505	-0.44419
-0.0062246	-0.42903
-0.0055986	-0.41412
-0.0049727	-0.39921
-0.0043467	-0.38429
-0.0037208	-0.36938
-0.0030949	-0.35444
-0.0024689	-0.33951
-0.0018430	-0.32502
-0.0012171	-0.30985
-0.00059111	-0.29474
0.000034828	-0.28057
0.00069295	-0.26575
0.0014105	-0.25103
0.0021280	-0.23509
0.0028455	-0.22044
0.0035629	-0.20569
0.0042804	-0.19104
0.0049979	-0.17540
0.0057154	-0.16073
0.0064329	-0.14641
0.0071504	-0.13115
0.0078679	-0.11653
0.0085854	-0.10111
0.0093029	-0.086447
0.010020	-0.071232
0.010738	-0.056742
0.011455	-0.041728
0.012173	-0.026902
0.065064	-0.012117
1.1257	0.00067579
2.2252	0.013324
3.6621	0.028329
5.0952	0.043146
6.5666	0.058047
8.0090	0.071851
9.5045	0.086892
10.926	0.10216
12.307	0.11696
13.602	0.13172
15.015	0.14657
16.324	0.16193
17.723	0.17671
19.243	0.19217
20.638	0.20711
22.138	0.22155
23.439	0.23623
24.972	0.25092
26.309	0.26597
1.8192	
