Force (N)	Déformation (mm)
	
0.076151	-0.54981
0.076008	-0.53772
0.075865	-0.52550
0.075722	-0.51288
0.075580	-0.50025
0.075437	-0.48772
0.075294	-0.47470
0.075151	-0.46227
0.075008	-0.44917
0.074865	-0.43697
0.074722	-0.42482
0.074579	-0.41122
0.074436	-0.39832
0.074293	-0.38646
0.074150	-0.37392
0.074007	-0.36138
0.073865	-0.34884
0.073722	-0.33634
0.073579	-0.32384
0.073436	-0.31050
0.073293	-0.29862
0.073150	-0.28555
0.073007	-0.27313
0.072864	-0.26011
0.072721	-0.24734
0.072578	-0.23582
0.072435	-0.22274
0.072293	-0.20999
0.072150	-0.19739
0.072007	-0.18478
0.071864	-0.17218
0.071721	-0.15958
0.071578	-0.14758
0.071435	-0.13420
0.071292	-0.12126
0.071149	-0.10932
0.071006	-0.097159
0.070863	-0.084183
0.070721	-0.071464
0.070578	-0.058924
0.070435	-0.046486
0.070292	-0.033999
0.070149	-0.021461
0.54540	-0.0089785
1.0270	0.00057975
1.4348	0.0098784
2.0552	0.022826
2.6787	0.035349
3.2870	0.047718
3.8954	0.060322
4.6114	0.073139
5.1871	0.086191
5.7901	0.098859
6.3830	0.11138
7.0804	0.12341
7.6975	0.13559
8.2821	0.14848
8.9306	0.16117
9.5240	0.17403
10.123	0.18594
10.750	0.19933
11.340	0.21197
11.899	0.22462
12.508	0.23748
13.069	0.24971
13.638	0.26172
14.207	0.27513
14.771	0.28782
15.331	0.30044
15.888	0.31298
16.429	0.32552
16.971	0.33804
17.506	0.35056
18.033	0.36308
18.513	0.37568
19.026	0.38833
19.543	0.40098
20.035	0.41374
20.540	0.42654
21.076	0.43913
21.540	0.45170
22.005	0.46427
22.470	0.47658
22.845	0.48878
23.320	0.50142
23.765	0.51386
24.200	0.52630
24.645	0.53885
25.092	0.55162
25.444	0.56422
25.884	0.57685
26.323	0.58940
26.742	0.60189
27.076	0.61438
27.470	0.62686
27.864	0.63942
28.207	0.65232
28.573	0.66496
4.5385	
