Force (N)	Déformation (mm)
	
0.00077454	-0.43385
0.0015502	-0.42532
0.0023258	-0.41679
0.0031015	-0.40932
0.0038771	-0.39955
0.0046528	-0.39118
0.0054284	-0.38329
0.0062040	-0.37451
0.0069797	-0.36614
0.0077553	-0.35757
0.0085310	-0.34839
0.0093066	-0.33970
0.010082	-0.33158
0.010858	-0.32315
0.011634	-0.31464
0.012409	-0.30574
0.013185	-0.29776
0.013960	-0.28921
0.014736	-0.27957
0.015512	-0.27166
0.016287	-0.26323
0.017063	-0.25385
0.017839	-0.24631
0.018614	-0.23738
0.019390	-0.22867
0.020166	-0.22075
0.020941	-0.21099
0.021717	-0.20297
0.022493	-0.19407
0.023268	-0.18517
0.024044	-0.17686
0.024819	-0.16867
0.025595	-0.15975
0.026371	-0.15156
0.027146	-0.14297
0.027922	-0.13350
0.028698	-0.12520
0.029473	-0.11679
0.030249	-0.10865
0.031025	-0.099485
0.031800	-0.091702
0.032576	-0.083156
0.033352	-0.074327
0.034127	-0.065997
0.034903	-0.057367
0.035679	-0.048863
0.036454	-0.039540
0.037230	-0.031789
0.038005	-0.022567
0.26435	-0.013879
0.70025	-0.0053860
1.0801	0.0010060
1.3953	0.0075540
1.9307	0.015446
2.3840	0.024027
2.8610	0.032687
3.4210	0.041077
3.9036	0.049697
4.4961	0.058367
4.9757	0.067083
5.5127	0.076026
6.0199	0.085016
6.5937	0.092778
7.1093	0.10167
7.6148	0.11066
8.1497	0.11847
8.6812	0.12691
9.2121	0.13537
9.7119	0.14419
10.277	0.15337
10.776	0.16197
11.366	0.17028
11.833	0.17886
12.379	0.18722
12.896	0.19574
13.425	0.20377
13.903	0.21331
14.394	0.22154
14.854	0.22972
15.350	0.23827
15.865	0.24769
16.395	0.25631
16.796	0.26493
17.368	0.27347
17.791	0.28191
18.231	0.29035
18.794	0.29886
19.318	0.30751
19.657	0.31624
20.172	0.32501
20.524	0.33364
21.010	0.34219
21.425	0.35074
21.861	0.35857
22.281	0.36723
22.698	0.37590
23.066	0.38456
23.517	0.39323
0.11444	
