Force (N)	Déformation (mm)
	
0.00097066	-0.43635
0.0019424	-0.42557
0.0029142	-0.41557
0.0038859	-0.40396
0.0048577	-0.39344
0.0058294	-0.38270
0.0068012	-0.37192
0.0077730	-0.36126
0.0087447	-0.35064
0.0097165	-0.33971
0.010688	-0.32933
0.011660	-0.31793
0.012632	-0.30723
0.013604	-0.29678
0.014575	-0.28561
0.015547	-0.27498
0.016519	-0.26366
0.017491	-0.25308
0.018462	-0.24221
0.019434	-0.23162
0.020406	-0.22063
0.021378	-0.20972
0.022349	-0.19887
0.023321	-0.18789
0.024293	-0.17732
0.025265	-0.16697
0.026236	-0.15563
0.027208	-0.14518
0.028180	-0.13419
0.029152	-0.12362
0.030123	-0.11207
0.031095	-0.10154
0.032067	-0.091282
0.033039	-0.080091
0.034010	-0.069629
0.034982	-0.057934
0.035954	-0.047144
0.036926	-0.037045
0.037897	-0.025850
0.12966	-0.014757
0.79438	-0.0044510
1.1074	0.0016926
1.7208	0.011730
2.3705	0.022750
3.0956	0.033843
3.7560	0.044816
4.3038	0.055902
4.9371	0.066326
5.6536	0.077060
6.2483	0.088454
6.8419	0.099346
7.4509	0.10980
8.0985	0.12003
8.6774	0.13184
9.2330	0.14224
9.7954	0.15307
10.353	0.16374
10.945	0.17441
11.495	0.18513
12.044	0.19590
12.553	0.20738
13.043	0.21851
13.510	0.22949
14.099	0.24036
14.633	0.25122
15.214	0.26137
15.731	0.27219
16.251	0.28301
16.856	0.29296
17.342	0.30460
17.905	0.31536
18.384	0.32609
18.882	0.33684
19.428	0.34667
19.944	0.35896
20.478	0.36970
20.955	0.38044
21.490	0.39112
21.971	0.40188
22.443	0.41268
22.968	0.42348
23.369	0.43471
23.840	0.44551
24.310	0.45631
24.798	0.46673
25.255	0.47740
25.700	0.48875
26.143	0.49960
26.586	0.50937
26.964	0.52086
27.386	0.53163
27.786	0.54240
28.189	0.55307
28.597	0.56370
29.000	0.57558
29.392	0.58613
29.723	0.59687
30.107	0.60761
9.0930	
