Force (N)	Déformation (mm)
	-0.65013
0.038854	-0.63857
0.039562	-0.62265
0.040269	-0.60693
0.040977	-0.59081
0.041684	-0.57472
0.042392	-0.55743
0.043100	-0.54092
0.043807	-0.52451
0.044515	-0.50926
0.045222	-0.49165
0.045930	-0.47556
0.046638	-0.45951
0.047345	-0.44356
0.048053	-0.42761
0.048760	-0.41108
0.049468	-0.39496
0.050176	-0.37850
0.050883	-0.36208
0.051591	-0.34609
0.052298	-0.32952
0.053006	-0.31307
0.053714	-0.29727
0.054421	-0.28078
0.055129	-0.26418
0.055836	-0.24800
0.056544	-0.23172
0.057838	-0.21589
0.071855	-0.19882
0.085871	-0.18245
0.043777	-0.16632
0.044600	-0.15001
0.045423	-0.13389
0.046247	-0.11742
0.047070	-0.10195
0.047894	-0.085168
0.048717	-0.068267
0.049540	-0.052817
0.050364	-0.036491
0.19295	-0.019821
0.89654	-0.0038422
1.4277	0.0083856
2.2713	0.024311
3.0000	0.040670
3.8337	0.057034
4.5909	0.073398
5.3065	0.089664
6.1037	0.10638
6.8591	0.12192
7.6898	0.13865
8.4245	0.15473
9.2740	0.17098
9.9769	0.18704
10.678	0.20318
11.407	0.21946
12.080	0.23644
12.822	0.25250
13.547	0.26861
14.252	0.28532
14.950	0.30076
15.668	0.31831
16.385	0.33402
17.060	0.35015
17.689	0.36662
18.420	0.38298
19.091	0.39935
19.731	0.41520
20.403	0.43161
21.103	0.44779
21.758	0.46405
22.379	0.48036
22.880	0.49772
23.485	0.51306
24.106	0.52999
24.624	0.54616
25.195	0.56261
25.736	0.57886
26.247	0.59422
26.745	0.61127
27.272	0.62758
27.796	0.64343
28.279	0.65988
28.784	0.67628
29.254	0.69269
29.727	0.70900
30.159	0.72528
30.612	0.74154
31.011	0.75777
31.417	0.77410
31.818	0.79043
32.206	0.80650
32.591	0.82355
32.958	0.83988
33.334	0.85621
33.764	0.87237
34.112	0.88872
34.418	0.90425
34.776	0.92092
35.065	0.93800
	0.95468
